OOGRWF


  npx:    400
  h:      0.781250D-02


   state:    1s 
  energy:    0.5000D+00


      r          p( 1s )       q( 1s )
  0.0000D+00    0.0000D+00   -0.0000D+00
  0.7812D-02    0.1551D-01   -0.5657D-04
  0.1569D-01    0.3089D-01   -0.1127D-03
  0.2362D-01    0.4614D-01   -0.1684D-03
  0.3162D-01    0.6127D-01   -0.2236D-03
  0.3968D-01    0.7627D-01   -0.2783D-03
  0.4780D-01    0.9115D-01   -0.3326D-03
  0.5599D-01    0.1059D+00   -0.3863D-03
  0.6424D-01    0.1205D+00   -0.4396D-03
  0.7255D-01    0.1350D+00   -0.4924D-03
  0.8093D-01    0.1493D+00   -0.5447D-03
  0.8937D-01    0.1635D+00   -0.5965D-03
  0.9789D-01    0.1775D+00   -0.6477D-03
  0.1065D+00    0.1914D+00   -0.6985D-03
  0.1151D+00    0.2052D+00   -0.7487D-03
  0.1238D+00    0.2188D+00   -0.7984D-03
  0.1326D+00    0.2323D+00   -0.8475D-03
  0.1414D+00    0.2456D+00   -0.8961D-03
  0.1504D+00    0.2588D+00   -0.9441D-03
  0.1594D+00    0.2718D+00   -0.9916D-03
  0.1684D+00    0.2846D+00   -0.1039D-02
  0.1775D+00    0.2973D+00   -0.1085D-02
  0.1867D+00    0.3099D+00   -0.1131D-02
  0.1960D+00    0.3223D+00   -0.1176D-02
  0.2054D+00    0.3345D+00   -0.1220D-02
  0.2148D+00    0.3465D+00   -0.1264D-02
  0.2243D+00    0.3584D+00   -0.1308D-02
  0.2338D+00    0.3702D+00   -0.1351D-02
  0.2435D+00    0.3817D+00   -0.1393D-02
  0.2532D+00    0.3931D+00   -0.1434D-02
  0.2630D+00    0.4043D+00   -0.1475D-02
  0.2728D+00    0.4154D+00   -0.1516D-02
  0.2828D+00    0.4263D+00   -0.1555D-02
  0.2928D+00    0.4370D+00   -0.1594D-02
  0.3029D+00    0.4475D+00   -0.1633D-02
  0.3131D+00    0.4579D+00   -0.1671D-02
  0.3233D+00    0.4680D+00   -0.1708D-02
  0.3337D+00    0.4780D+00   -0.1744D-02
  0.3441D+00    0.4878D+00   -0.1780D-02
  0.3546D+00    0.4975D+00   -0.1815D-02
  0.3652D+00    0.5069D+00   -0.1850D-02
  0.3758D+00    0.5162D+00   -0.1883D-02
  0.3866D+00    0.5253D+00   -0.1917D-02
  0.3974D+00    0.5342D+00   -0.1949D-02
  0.4083D+00    0.5429D+00   -0.1981D-02
  0.4193D+00    0.5514D+00   -0.2012D-02
  0.4304D+00    0.5598D+00   -0.2042D-02
  0.4416D+00    0.5679D+00   -0.2072D-02
  0.4529D+00    0.5759D+00   -0.2101D-02
  0.4642D+00    0.5837D+00   -0.2130D-02
  0.4757D+00    0.5912D+00   -0.2157D-02
  0.4872D+00    0.5986D+00   -0.2184D-02
  0.4988D+00    0.6058D+00   -0.2210D-02
  0.5105D+00    0.6128D+00   -0.2236D-02
  0.5223D+00    0.6196D+00   -0.2261D-02
  0.5342D+00    0.6262D+00   -0.2285D-02
  0.5462D+00    0.6327D+00   -0.2308D-02
  0.5583D+00    0.6389D+00   -0.2331D-02
  0.5705D+00    0.6449D+00   -0.2353D-02
  0.5827D+00    0.6508D+00   -0.2374D-02
  0.5951D+00    0.6564D+00   -0.2395D-02
  0.6075D+00    0.6619D+00   -0.2415D-02
  0.6201D+00    0.6671D+00   -0.2434D-02
  0.6328D+00    0.6722D+00   -0.2453D-02
  0.6455D+00    0.6770D+00   -0.2470D-02
  0.6584D+00    0.6817D+00   -0.2487D-02
  0.6713D+00    0.6861D+00   -0.2504D-02
  0.6844D+00    0.6904D+00   -0.2519D-02
  0.6975D+00    0.6945D+00   -0.2534D-02
  0.7108D+00    0.6984D+00   -0.2548D-02
  0.7242D+00    0.7021D+00   -0.2562D-02
  0.7376D+00    0.7055D+00   -0.2574D-02
  0.7512D+00    0.7088D+00   -0.2586D-02
  0.7649D+00    0.7119D+00   -0.2598D-02
  0.7787D+00    0.7149D+00   -0.2608D-02
  0.7926D+00    0.7176D+00   -0.2618D-02
  0.8066D+00    0.7201D+00   -0.2627D-02
  0.8207D+00    0.7224D+00   -0.2636D-02
  0.8349D+00    0.7246D+00   -0.2644D-02
  0.8493D+00    0.7265D+00   -0.2651D-02
  0.8637D+00    0.7283D+00   -0.2657D-02
  0.8783D+00    0.7298D+00   -0.2663D-02
  0.8929D+00    0.7312D+00   -0.2668D-02
  0.9077D+00    0.7324D+00   -0.2672D-02
  0.9226D+00    0.7334D+00   -0.2676D-02
  0.9377D+00    0.7343D+00   -0.2679D-02
  0.9528D+00    0.7349D+00   -0.2681D-02
  0.9681D+00    0.7354D+00   -0.2683D-02
  0.9834D+00    0.7357D+00   -0.2684D-02
  0.9989D+00    0.7358D+00   -0.2685D-02
  0.1015D+01    0.7357D+00   -0.2684D-02
  0.1030D+01    0.7354D+00   -0.2683D-02
  0.1046D+01    0.7350D+00   -0.2682D-02
  0.1062D+01    0.7344D+00   -0.2680D-02
  0.1078D+01    0.7336D+00   -0.2677D-02
  0.1094D+01    0.7327D+00   -0.2673D-02
  0.1111D+01    0.7316D+00   -0.2669D-02
  0.1127D+01    0.7303D+00   -0.2665D-02
  0.1144D+01    0.7288D+00   -0.2659D-02
  0.1161D+01    0.7272D+00   -0.2653D-02
  0.1178D+01    0.7254D+00   -0.2647D-02
  0.1195D+01    0.7235D+00   -0.2640D-02
  0.1212D+01    0.7214D+00   -0.2632D-02
  0.1229D+01    0.7192D+00   -0.2624D-02
  0.1246D+01    0.7168D+00   -0.2615D-02
  0.1264D+01    0.7142D+00   -0.2606D-02
  0.1282D+01    0.7115D+00   -0.2596D-02
  0.1299D+01    0.7087D+00   -0.2586D-02
  0.1317D+01    0.7057D+00   -0.2575D-02
  0.1336D+01    0.7025D+00   -0.2563D-02
  0.1354D+01    0.6992D+00   -0.2551D-02
