OOGRWF


  z:      0.400D+01
  npx:    400
  h:      0.781250D-02


   state:    1s 
  energy:    0.8002D+01


      r          p( 1s )       q( 1s )     npt
  0.0000D+00    0.0000D+00   -0.0000D+00   400
  0.1953D-02    0.3107D-01   -0.4536D-03   400
  0.3922D-02    0.6188D-01   -0.9033D-03   400
  0.5905D-02    0.9243D-01   -0.1349D-02   400
  0.7905D-02    0.1227D+00   -0.1791D-02   400
  0.9919D-02    0.1527D+00   -0.2230D-02   400
  0.1195D-01    0.1825D+00   -0.2664D-02   400
  0.1400D-01    0.2120D+00   -0.3095D-02   400
  0.1606D-01    0.2412D+00   -0.3522D-02   400
  0.1814D-01    0.2702D+00   -0.3944D-02   400
  0.2023D-01    0.2989D+00   -0.4363D-02   400
  0.2234D-01    0.3273D+00   -0.4777D-02   400
  0.2447D-01    0.3554D+00   -0.5188D-02   400
  0.2662D-01    0.3832D+00   -0.5594D-02   400
  0.2878D-01    0.4107D+00   -0.5996D-02   400
  0.3095D-01    0.4380D+00   -0.6394D-02   400
  0.3315D-01    0.4649D+00   -0.6787D-02   400
  0.3536D-01    0.4916D+00   -0.7176D-02   400
  0.3759D-01    0.5179D+00   -0.7560D-02   400
  0.3984D-01    0.5439D+00   -0.7940D-02   400
  0.4210D-01    0.5697D+00   -0.8316D-02   400
  0.4438D-01    0.5951D+00   -0.8687D-02   400
  0.4668D-01    0.6202D+00   -0.9053D-02   400
  0.4900D-01    0.6449D+00   -0.9414D-02   400
  0.5134D-01    0.6694D+00   -0.9771D-02   400
  0.5369D-01    0.6935D+00   -0.1012D-01   400
  0.5606D-01    0.7173D+00   -0.1047D-01   400
  0.5846D-01    0.7407D+00   -0.1081D-01   400
  0.6087D-01    0.7639D+00   -0.1115D-01   400
  0.6329D-01    0.7866D+00   -0.1148D-01   400
  0.6574D-01    0.8091D+00   -0.1181D-01   400
  0.6821D-01    0.8312D+00   -0.1213D-01   400
  0.7069D-01    0.8530D+00   -0.1245D-01   400
  0.7320D-01    0.8744D+00   -0.1276D-01   400
  0.7573D-01    0.8954D+00   -0.1307D-01   400
  0.7827D-01    0.9161D+00   -0.1337D-01   400
  0.8083D-01    0.9365D+00   -0.1367D-01   400
  0.8342D-01    0.9565D+00   -0.1396D-01   400
  0.8602D-01    0.9761D+00   -0.1425D-01   400
  0.8865D-01    0.9954D+00   -0.1453D-01   400
  0.9129D-01    0.1014D+01   -0.1481D-01   400
  0.9396D-01    0.1033D+01   -0.1508D-01   400
  0.9665D-01    0.1051D+01   -0.1534D-01   400
  0.9936D-01    0.1069D+01   -0.1560D-01   400
  0.1021D+00    0.1086D+01   -0.1586D-01   400
  0.1048D+00    0.1103D+01   -0.1610D-01   400
  0.1076D+00    0.1120D+01   -0.1635D-01   400
  0.1104D+00    0.1136D+01   -0.1659D-01   400
  0.1132D+00    0.1152D+01   -0.1682D-01   400
  0.1161D+00    0.1168D+01   -0.1705D-01   400
  0.1189D+00    0.1183D+01   -0.1727D-01   400
  0.1218D+00    0.1198D+01   -0.1748D-01   400
  0.1247D+00    0.1212D+01   -0.1769D-01   400
  0.1276D+00    0.1226D+01   -0.1790D-01   400
  0.1306D+00    0.1240D+01   -0.1810D-01   400
  0.1336D+00    0.1253D+01   -0.1829D-01   400
  0.1365D+00    0.1266D+01   -0.1848D-01   400
  0.1396D+00    0.1278D+01   -0.1866D-01   400
  0.1426D+00    0.1290D+01   -0.1883D-01   400
  0.1457D+00    0.1302D+01   -0.1900D-01   400
  0.1488D+00    0.1313D+01   -0.1917D-01   400
  0.1519D+00    0.1324D+01   -0.1933D-01   400
  0.1550D+00    0.1334D+01   -0.1948D-01   400
  0.1582D+00    0.1345D+01   -0.1963D-01   400
  0.1614D+00    0.1354D+01   -0.1977D-01   400
  0.1646D+00    0.1364D+01   -0.1991D-01   400
  0.1678D+00    0.1372D+01   -0.2004D-01   400
  0.1711D+00    0.1381D+01   -0.2016D-01   400
  0.1744D+00    0.1389D+01   -0.2028D-01   400
  0.1777D+00    0.1397D+01   -0.2039D-01   400
  0.1810D+00    0.1404D+01   -0.2050D-01   400
  0.1844D+00    0.1411D+01   -0.2060D-01   400
  0.1878D+00    0.1418D+01   -0.2070D-01   400
  0.1912D+00    0.1424D+01   -0.2079D-01   400
  0.1947D+00    0.1430D+01   -0.2087D-01   400
  0.1981D+00    0.1435D+01   -0.2095D-01   400
  0.2016D+00    0.1440D+01   -0.2103D-01   400
  0.2052D+00    0.1445D+01   -0.2109D-01   400
  0.2087D+00    0.1449D+01   -0.2116D-01   400
  0.2123D+00    0.1453D+01   -0.2121D-01   400
  0.2159D+00    0.1457D+01   -0.2126D-01   400
  0.2196D+00    0.1460D+01   -0.2131D-01   400
  0.2232D+00    0.1463D+01   -0.2135D-01   400
  0.2269D+00    0.1465D+01   -0.2138D-01   400
  0.2307D+00    0.1467D+01   -0.2141D-01   400
  0.2344D+00    0.1469D+01   -0.2144D-01   400
  0.2382D+00    0.1470D+01   -0.2146D-01   400
  0.2420D+00    0.1471D+01   -0.2147D-01   400
  0.2459D+00    0.1471D+01   -0.2148D-01   400
  0.2497D+00    0.1472D+01   -0.2148D-01   400
  0.2536D+00    0.1471D+01   -0.2148D-01   400
  0.2576D+00    0.1471D+01   -0.2147D-01   400
  0.2615D+00    0.1470D+01   -0.2146D-01   400
  0.2655D+00    0.1469D+01   -0.2144D-01   400
  0.2696D+00    0.1467D+01   -0.2142D-01   400
  0.2736D+00    0.1465D+01   -0.2139D-01   400
